addCar,35000,20000,Gold,2000,130,15,5,TRUE,,,
addCar,40000,15000,Red,2017,110,9,2,TRUE,,,
addCar,50000,25000,Green,2015,120,12,5,FALSE,,,
upgradeCar,c2,,,,,,,,,,
addVan,150000,100000,Black,2014,115,9,1,150,,,
addVan,60000,45000,Gold,2017,110,7,3,120,,,
dcribeSpecialPropertieVan,v4,,,,,,,,,,
addVan,200000,130000,White,2006,107,10,6,110,,,
upgradVan,v3,,,,,,,,,,
addVan,70000,45000,Silver,2001,100,8,5,117,,,
addHybridMotorcycle,20000,10000,Gold,2014,110,1,TRUE,,,,
addHybridMotorcycle,30000,20000,Black,2021,110,1,FALSE,,,,
addMotorcycle,20000,10000,White,2014,110,7,TRUE,,,,
addMotorcycle,70000,55000,Gold,2019,110,3,FALSE,,,,
dcribeSpecialPropertieMotorcycle,m10,,,,,,,,,,
addMotorcycle,220000,120000,White,2014,110,7,TRUE,,,,
addMotorcycle,75000,60000,Red,2018,110,7,FALSE,,,,
addHybridMotorcycle,20000,10000,Black,2006,110,1,TRUE,,,,
addCar,65000,40000,Gold,2001,130,15,4,TRUE,,,
addCar,22000,17000,Red,2017,110,9,2,TRUE,,,
addCar,50000,25000,Green,2015,120,2,7,FALSE,,,
addVan,170000,120000,Black,2014,115,9,15,150,,,
addVan,70000,60000,Gold,2017,110,7,16,120,,,
addVan,205000,135000,White,2006,107,10,11,110,,,
addVan,76000,49000,Silver,2001,100,8,13,117,,,
addHybridMotorcycle,75000,60000,Gold,2014,110,1,TRUE,,,,
addHybridMotorcycle,30000,20000,Black,2021,110,1,FALSE,,,,
addHybridMotorcycle,19000,12000,White,2014,110,1,TRUE,,,,
addMotorcycle,70000,55000,Gold,2019,110,3,FALSE,,,,
addHybridMotorcycle,100000,92000,White,2014,110,1,TRUE,,,,
addMotorcycle,75000,60000,Red,2018,110,1,FALSE,,,,
addMotorcycle,25000,17000,Black,2006,110,8,TRUE,,,,
addHybridMotorcycle,75000,65000,Gold,2019,110,1,FALSE,,,,
addMotorcycle,110000,90000,White,2014,110,7,TRUE,,,,
addHybridMotorcycle,80000,60000,Red,2018,110,1,FALSE,,,,
addHybridMotorcycle,35000,21000,Black,2006,110,1,TRUE,,,,
addCar,70000,60000,Gold,2001,130,15,5,TRUE,,,
addHybridCar,32000,18000,Red,2017,110,1,2,FALSE,,,
addCar,50000,3500,Green,2015,120,2,7,TRUE,,,
addVan,200000,130000,Black,2014,115,9,15,112,,,
addVan,70000,50000,Gold,2017,110,7,16,120,,,
addVan,205000,175000,White,2006,107,10,11,150,,,
addVan,76000,59000,Silver,2001,100,8,13,120,,,
addHybridCar,70000,55000,Gold,2001,130,1,1,TRUE,,,
addHybridCar,37000,20000,Red,2017,110,1,2,FALSE,,,
addHybridCar,50000,35000,Green,2015,120,1,1,TRUE,,,
addVan,220000,170000,Black,2014,115,9,15,110,,,
addVan,75000,60000,Gold,2017,110,7,12,170,,,
addVan,215000,195000,White,2006,107,10,11,150,,,
addVan,85000,60000,Silver,2001,100,8,13,120,,,
addCar,79000,68000,Gold,2001,130,15,5,FALSE,,,
addHybridCar,32000,22000,Red,2017,110,1,2,TRUE,,,
addCar,60000,45000,Green,2015,120,2,7,FALSE,,,
addHybridCar,116000,90000,Red,2015,120,2,7,TRUE,,,
addHybridCar,115000,90000,Green,2022,120,1,7,FALSE,,,
addCustomer,1,Ahmed,Abom,54893265,M,1980,Jerusalem,20/03/2021,,,
addCustomer,2,Hasan,Abom,54893265,M,1995,Haifa,25/07/2020,,,
addCustomer,3,Alaa,Ganaem,54893265,F,1990,JudeaAndSamaria,10/10/2018,,,
addCustomer,4,Eyad,Cantor       ,54893265,M,2000,Northern,20/09/2019,,,
